Conjunction data for RBSPb and FU4 from Shumko file FU4_RBSPB_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspb) during min separation time
Lfb = L value (FU4) during min separation time
MLTrb = MLT value (rbspb) during min separation time
MLTfb = MLT value (FU4) during min separation time
distmin = minimum |separation| in RE b/t rbspb and FU4 at Tminsep
dLmin = |delta L| of rbspb) during min separation time
dMLTmin = |delta MLT| of rbspb) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  SpecETot_lf  SpecEMax_lf  SpecEAvg_lf  SpecEMed_lf    SpecETot_lb  SpecEMax_lb  SpecEAvg_lb  SpecEMed_lb    SpecETot_ub  SpecEMax_ub  SpecEAvg_ub  SpecEMed_ub    SpecBTot_lf  SpecBMax_lf  SpecBAvg_lf  SpecBMed_lf  SpecBTot_lb  SpecBMax_lb  SpecBAvg_lb  SpecBMed_lb    SpecBTot_ub  SpecBMax_ub  SpecBAvg_ub  SpecBMed_ub  7E4 7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2017-07-01/20:10:18 2017-07-01/20:11:46 2017-07-01/20:10:53     5.83     5.65    15.47    15.26   0.36315    0.183    0.209    54.07    -1.00   302     0   107           0.21       0.001862       0.000095       0.000052           1.76       0.059583       0.001479       0.000388           0.25       0.059583       0.000476       0.000129           0.00       0.000002       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    4    0    3  106    9    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/21:44:33 2017-07-01/21:45:51 2017-07-01/21:45:06     5.21     5.08    16.53    16.26   0.38406    0.132    0.268     9.42    -1.00   314     0     0           0.13       0.001241       0.000062       0.000026           0.00       0.000155       0.000059       0.000052           0.05       0.002483       0.000265       0.000103           0.01       0.000007       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   13   41   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/15:07:25 2017-07-02/15:09:15 2017-07-02/15:07:25     5.66     4.76    15.98    15.31   1.28934    0.906    0.676    16.08    -1.00   361     0    27           2.22       0.010758       0.000340       0.000155           0.14       0.014896       0.000502       0.000103           0.44       0.018206       0.001975       0.000724           0.01       0.000006       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    4    2    3  118    6    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/11:50:25 2017-07-09/11:52:22 2017-07-09/11:51:21     4.16     4.02    17.19    16.72   0.51990    0.137    0.469     7.26    -1.00   170     0     0          14.88       0.026481       0.000533       0.000233           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN           0.60       0.000771       0.000012       0.000001           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   21   15   17    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/16:43:35 2017-07-09/16:46:17 2017-07-09/16:44:22     5.47     5.57    14.13    14.17   0.12168   -0.104    0.044    26.51    -1.00   147  2189    31        8147.49      23.727131       0.320011       0.013241           0.01       0.000517       0.000144       0.000078           0.00            NaN           -NaN            NaN          19.73       0.044849       0.000585       0.000002           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    4    1    0   31   10    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/18:19:25 2017-07-09/18:21:03 2017-07-09/18:19:42     5.82     5.13    15.20    14.75   0.94368    0.694    0.448    73.75    -1.00   290  7119     0          40.04       0.158887       0.002933       0.000259           0.22       0.004965       0.000164       0.000078           0.00       0.000129       0.000129       0.000129           0.06       0.000131       0.000002       0.000000           0.00       0.000004       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0    0    0   45   67   10    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/19:54:08 2017-07-09/19:55:17 2017-07-09/19:54:25     5.16     4.61    16.25    15.61   0.98006    0.551    0.635    25.12    -1.00   302  7110     0           8.56       0.009930       0.000393       0.000155           0.11       0.002276       0.000138       0.000078           0.00       0.000129       0.000129       0.000129           0.05       0.000020       0.000001       0.000000           0.00       0.000004       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0    0    0   45   53    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/14:39:18 2017-07-11/14:40:36 2017-07-11/14:39:31     5.78     6.11    14.53    14.72   0.43908   -0.331    0.185    64.64    -1.00   204     0     0          17.18       0.026481       0.001474       0.000672           0.00       0.000362       0.000066       0.000026           0.00       0.001241       0.000191       0.000078           0.01       0.000007       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0    5   13    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/16:14:37 2017-07-11/16:16:22 2017-07-11/16:14:41     5.66     4.83    15.54    15.05   1.06223    0.824    0.490    21.00    -1.00   302     0     0           6.87       0.026481       0.001150       0.000129           0.00       0.000103       0.000034       0.000026           0.00       0.000078       0.000057       0.000052           0.02       0.000008       0.000001       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   34   15    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-12/19:13:18 2017-07-12/19:14:56 2017-07-12/19:13:42     5.74     5.21    15.39    14.97   0.79963    0.533    0.417    48.25    -1.00   361     0     0           0.68       0.003724       0.000139       0.000052           0.17       0.002896       0.000261       0.000103           0.00            NaN           -NaN            NaN           0.03       0.000026       0.000001       0.000000           0.00       0.000006       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   69   37    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-16/15:02:35 2017-07-16/15:05:24 2017-07-16/15:03:14     4.96     4.60    16.13    15.73   0.61169    0.355    0.399     2.16    -1.00   421     0     0          12.21       0.029791       0.001138       0.000336           0.03       0.000569       0.000084       0.000052           0.00            NaN           -NaN            NaN           0.12       0.000491       0.000004       0.000000           0.00       0.000002       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   26   19    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/18:44:28 2017-07-21/18:45:36 2017-07-21/18:45:02     5.65     6.12    13.94    14.22   0.64377   -0.471    0.285    61.96    -1.00   421     0     0          21.88       0.317774       0.001127       0.000181           0.75       0.029791       0.000852       0.000129           0.04       0.002069       0.000197       0.000078           0.03       0.000762       0.000001       0.000000           0.00       0.000001       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0    3    1   23  165   11    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/00:51:37 2017-11-21/00:52:22 2017-11-21/00:52:00     5.81     5.87     9.64     8.98   1.00662   -0.059    0.658    15.84    -1.00   277     0    67         872.64      15.253156       0.054326       0.000672           7.28       0.079444       0.001542       0.000388           0.36       0.018206       0.000700       0.000129           0.19       0.002477       0.000009       0.000000           0.00       0.000007       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    1    5    6  139  244   41    0    0    0    0    0    0    0    0    0    0    0    0
