Conjunction data for RBSPa and FU4 from Shumko file FU4_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU4) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU4) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU4 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction (detrended over 0.1 sec to get rid of roll variation)
sur = max surface detector FB flux during conjunction (detrended over 0.1 sec to get rid of roll variation)
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  SpecETot_lf  SpecEMax_lf  SpecEAvg_lf  SpecEMed_lf    SpecETot_lb  SpecEMax_lb  SpecEAvg_lb  SpecEMed_lb    SpecETot_ub  SpecEMax_ub  SpecEAvg_ub  SpecEMed_ub    SpecBTot_lf  SpecBMax_lf  SpecBAvg_lf  SpecBMed_lf  SpecBTot_lb  SpecBMax_lb  SpecBAvg_lb  SpecBMed_lb    SpecBTot_ub  SpecBMax_ub  SpecBAvg_ub  SpecBMed_ub  7E4 7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2017-07-01/07:21:42 2017-07-01/07:22:56 2017-07-01/07:22:25     5.03     5.02    17.24    17.65   0.53208    0.008    0.405     1.62     0.00   290     0     0           0.20       0.000828       0.000052       0.000026           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN       39704.83      16.869541       0.885261       0.524913           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    0   15    5    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/10:17:28 2017-07-02/10:18:51 2017-07-02/10:18:12     4.98     4.92    17.26    16.93   0.42517    0.061    0.325     4.33     0.00   337     0     0           2.67       0.004138       0.000205       0.000103           0.00       0.000336       0.000059       0.000026           0.00            NaN           -NaN            NaN       63029.77      54.517444       1.358225       0.503143          11.19       0.401447       0.033905       0.015453           0.00            NaN           -NaN            NaN    0    0    0   39   19   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/15:08:42 2017-07-02/15:09:41 2017-07-02/15:08:43     4.95     5.51    14.37    14.76   0.77062   -0.555    0.391     3.81     0.00   360     0    19          81.73       1.694795       0.006079       0.000207           0.00       0.000414       0.000165       0.000207           0.11       0.008275       0.000732       0.000181       15769.03     114.192796       0.500557       0.094657           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0   10   14    2   16    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-03/14:19:02 2017-07-03/14:22:00 2017-07-03/14:20:36     3.30     3.15    18.63    19.20   0.50548    0.150    0.572     0.60     0.00   707     0     0           0.65       0.008275       0.000129       0.000052           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN       31175.69      21.251592       0.732873       0.174239           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    2   33   31   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-06/12:33:37 2017-07-06/12:35:28 2017-07-06/12:34:14     5.10     4.74    16.93    16.27   0.92104    0.357    0.661     0.62     0.00   278     0     0           1.12       0.001241       0.000090       0.000052           0.02       0.000517       0.000080       0.000052           0.00            NaN           -NaN            NaN       75883.59      48.198690       1.420403       0.663339          96.29       0.888141       0.064149       0.013487           0.00            NaN           -NaN            NaN    0    0    0   41   23   22    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/11:51:50 2017-07-09/11:53:15 2017-07-09/11:52:32     5.35     5.33    16.58    16.50   0.10266    0.024    0.071     1.10     0.00   302  4529     0         239.83       0.105925       0.008783       0.004551           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN     2614960.74    1550.860182      63.044523       1.959675           0.41       0.015903       0.004604       0.002775           0.00            NaN           -NaN            NaN    0    0    0   87   10    6    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/18:19:07 2017-07-09/18:21:22 2017-07-09/18:19:48     5.63     5.20    14.99    14.70   0.58752    0.431    0.282    11.83     0.00   290     4     0         390.95       0.582586       0.018235       0.000388           1.11       0.006620       0.000261       0.000129           0.00       0.000078       0.000060       0.000052      436735.96    1218.056487      10.307670       0.267631         976.34       3.552565       0.138862       0.036670           0.00            NaN           -NaN            NaN    0    1    0   56   91    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/19:54:47 2017-07-09/19:55:46 2017-07-09/19:55:00     5.75     5.16    15.97    15.37   1.03745    0.590    0.598     1.51     0.00   290  4354     0          37.49       0.086064       0.001819       0.000414           0.40       0.006620       0.000194       0.000078           0.00            NaN           -NaN            NaN       51717.01      39.819310       1.231504       0.473105         998.59       3.552565       0.118303       0.036242           0.00            NaN           -NaN            NaN    0    0    0   56   91    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/21:28:47 2017-07-09/21:29:17 2017-07-09/21:29:08     4.83     4.44    17.08    16.35   0.96088    0.388    0.726     9.86     0.00   290  6175     0          59.06       0.132406       0.001497       0.000621           0.60       0.001862       0.000178       0.000103           0.00            NaN           -NaN            NaN      112670.62      39.819310       2.108357       0.951532         357.12       0.565145       0.055513       0.029155           0.00            NaN           -NaN            NaN    0    0    0   66   22    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/09:47:19 2017-07-11/09:49:03 2017-07-11/09:48:21     4.14     4.11    17.54    17.28   0.27985    0.031    0.258     6.56     0.00  1173  2298     0           0.75       0.001862       0.000111       0.000052           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN       67707.75      52.853255       1.297630       0.624602           3.79       0.107489       0.015206       0.007852           0.00            NaN           -NaN            NaN    0    0    0   43   16   14    0    0    0    0    0    0    0    0    0    0    0    0
