Conjunction data for RBSPa and FU3 from Shumko file FU3_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU3) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU3) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU3 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  7E4  7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2017-11-22/10:49:13 2017-11-22/10:50:56 2017-11-22/10:50:08     4.39     4.41     7.79     8.00   0.24804   -0.020    0.215    16.04    29.00   290     0     0    0    2    6   52   47   75    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-22/13:22:23 2017-11-22/13:23:51 2017-11-22/13:23:26     6.35     5.90     9.94    10.43   0.90184    0.451    0.487    64.18    30.05   297     0   134    2   15    1   58  282    8    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-24/00:21:33 2017-11-24/00:22:46 2017-11-24/00:21:59     5.55     5.59     9.29     9.12   0.24890   -0.037    0.169    37.52    28.12   217     0    31    1    1    8    2    5   20    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-25/22:15:44 2017-11-25/22:17:09 2017-11-25/22:16:14     5.84     5.93    10.04     9.84   0.32034   -0.094    0.199    21.09    30.13   290     0   138    0    1    1    7    9   29    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-28/11:55:13 2017-11-28/11:56:41 2017-11-28/11:56:07     6.09     5.80     9.23     9.75   0.85087    0.286    0.515    15.91    29.39   432     0   261    0    7    1   24  316    9    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-28/15:04:52 2017-11-28/15:04:57 2017-11-28/15:05:23     5.04     5.61    11.84    11.14   1.13552   -0.574    0.705     9.54    30.74   469     0    23    2    3    2   50  108   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-04/12:02:03 2017-12-04/12:03:26 2017-12-04/12:02:46     6.20     6.09     9.66     9.86   0.33657    0.106    0.199    14.39    30.56   420     0    51    0    1    1  129   99   12    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-04/21:37:50 2017-12-04/21:39:28 2017-12-04/21:38:38     5.78     5.70    10.13    10.10   0.08752    0.077    0.027     2.01    30.71   361     0     3    0    6    5    4  191   41    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-05/16:31:37 2017-12-05/16:33:46 2017-12-05/16:33:18     5.73     5.23    10.96    11.34   0.74108    0.502    0.381    23.65    29.51   385     0    75    6   29    7   22  599   95    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-05/22:59:37 2017-12-05/23:00:57 2017-12-05/23:00:25     5.63     5.34     8.98     9.58   0.90447    0.290    0.597    50.33    28.92   469     0    47    1    9    6    7  382   47    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-06/07:26:47 2017-12-06/07:27:56 2017-12-06/07:27:26     5.49     5.49     8.59     8.64   0.08293   -0.001    0.058    12.36    28.41   397     0     3    0    5    3   33  149   27    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-07/01:55:42 2017-12-07/01:56:56 2017-12-07/01:56:11     5.65     5.67     9.00     8.89   0.15819   -0.020    0.106    31.93    28.30   433     0     0    0    1    7    8   26   39    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-07/20:52:25 2017-12-07/20:54:22 2017-12-07/20:53:47     5.87     5.37     9.75    10.35   1.01630    0.505    0.600    35.52    29.93     3     0   168    0   15    2   19  565   52    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-10/09:37:02 2017-12-10/09:38:03 2017-12-10/09:37:34     5.48     5.50     8.19     8.47   0.40321   -0.014    0.280     0.29    28.99   361     0     0    0    0    0   24    3    3    0    0    0    0    0    0    0    0    0    0    0    0
