date					  L		 MLT     mnsep	  dL	   dMLT   col	sur	  EMFb   B1b   B2b  7E4	 7E5  7E6  7B4  7B5	7B6  13E7 13E8 13E9 13E10 13E11	13E12 13B7 13B8	13B9 13B10 13B11 13B12
2017-12-06/07:13:19      5.3      8.4    0.333    0.010    0.238    38     0   421     0     7    0    5    5   31  149   27    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-07/01:42:20      5.6      8.8    0.161    0.026    0.109   113     0   493     0     0    0    1    7    8   10   39    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-07/20:39:20      5.9      9.6    1.377    0.718    0.813   182     0     3     0   142    0   15    1   20  565   29    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-10/09:23:29      5.3      8.0    0.750    0.027    0.543    13     0   361     0     0    0    0    0   31    4    3    0    0    0    0    0    0    0    0    0    0    0    0
2018-02-26/12:09:20      4.9      8.4    0.501   -0.026    0.387    11     0   349     0     0    0    2    3   33   11    6    0    0    0    0    0    0    0    0    0    0    0    0
2018-02-26/18:31:49      5.7      6.3    0.338   -0.136    0.203    22     0   432     0    19    1    7    7    6   14   29    0    0    0    0    0    0    0    0    0    0    0    0
2018-02-27/06:39:26      4.4      9.0    0.353    0.030    0.305    68     0   397     0    19    0   19   53  108  665   98    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-01/19:22:12      5.8      7.1    0.825    0.366    0.507    20     0   302     0    67    2    9    2   96  765   23    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-03/09:20:02      4.0      9.1    0.274   -0.003    0.259    13     0   124     0     0    0    0    0   28   32    9    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-04/12:13:08      3.9      9.1    0.215    0.025    0.207    11     0   158     0     0    0    0    0   35   23   17    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-29/18:39:02      5.9      6.0    1.639   -0.469    0.976   260     0   337     0     0    0    0    0    1    1    3    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-29/20:13:57      5.0      7.3    0.136    0.056    0.094   262     0   373     0     0    0    0    0    3    1    6    0    0    0    0    0    0    0    0    0    0    0    0
2018-04-20/20:58:11      4.4      7.3    0.811   -0.215    0.666    84     0   278     0    43    0    0    0    0    0    0    0    0    0    1    4    5   69  158  235  366  352  197
2018-04-23/20:12:32      4.9      6.7    1.410   -0.344    1.039   108     0   338  1698    11    0    0    0    0    0    0    0    0    0    3    1    0   49   66   64  216   88   55
2018-05-03/22:24:32      4.2      7.0    1.540   -0.261    1.339    60     0   290     0    39    0    0    0    0    0    0    0    0    0    0    0    1   28   33   43   49   41   21
2018-05-11/18:43:59      3.3      7.3    1.423   -0.274    1.546   186     0   230     0    59    0    0    0    0    0    0    0    0    0    0    0    6   27   66   47   19   24   37
2018-08-03/10:27:11      4.2     22.7    0.790    0.057    0.727    77     0   266     0    99    0    0    0    0    0    0    2    1    0    0    5    4   14   16   11   18   82   59
2018-08-04/03:55:28      3.3     21.9    0.409   -0.088    0.458   124     0   230     0     0    0    0    0    0    0    0    0    0    0    0    0    3   21   17   18   22   44   44
2018-08-06/10:44:02      4.9     23.4    0.031   -0.001    0.024    17     0   337     0     0    0    0    0    0    0    0    0    0    0    0    0    0    3    4   10   31   23   47
2018-08-07/15:11:06      6.1      0.7    0.629   -0.001    0.396    13     0   421   337    95    0    0    0    0    0    0    2    1    6    4    1    2    3    3   50   83   15    6
2018-08-07/16:46:11      5.8      1.8    1.478    0.019    0.972    11     0   349   650     3    0    0    0    0    0    0    0    0    0    1    4    3    2    1    5   23   19    9
2018-08-08/07:37:37      4.9     23.5    0.326    0.033    0.254    17     0   421   742     0    0    0    0    0    0    0    0    0    0    0    0    0   22   29   25   33   15   13
2018-08-08/08:38:47      5.6      0.3    1.085    0.080    0.749    11     0   505   697     3    0    0    0    0    0    0    0    0    0    0    0    1   22   29   25   87   52   11
2018-08-09/03:37:21      5.8      1.0    1.023   -0.540    0.548    11     0   360   304    11    0    0    0    0    0    0    1    0    0    0    0    0    2    3    4   19   11    4
2018-08-09/09:57:57      4.5     22.9    0.670    0.051    0.571    13     0   350     0     0    0    0    0    0    0    0    0    0    0    0    0    0   19   15   18   20   16    8
2018-08-10/21:18:16      3.9     22.2    0.218    0.128    0.178    35     0   493     0     0    0    0    0    0    0    0    0    0    0    0    1    4   11   19    9    9   23   51
2018-08-11/01:30:01      5.5      1.8    1.167   -0.584    0.667    11     0   831     0     0    0    0    0    0    0    0    0    0    0    0    0    0    5    4    3   11   37   10
2018-08-11/17:18:24      6.0      0.3    1.127    0.238    0.715     8     0   361     0     0    0    0    0    0    0    0    2    1    2    4    2    1    8   31   89   58   14    6
2018-08-12/00:15:03      3.9     22.3    0.799    0.116    0.787    22     0   288     0     0    0    0    0    0    0    0    0    0    0    0    0    0   58   17    7    3    7    4
2018-08-12/11:17:11      5.7      0.3    1.151    0.108    0.774    57     0   420     0     0    0    0    0    0    0    0    0    0    2    8    2   14   36  234  651  698  154   16
2018-08-13/05:46:11      5.8      0.7    0.410   -0.030    0.268    11     0   349     0     0    0    0    0    0    0    0    0    0    9   20    5    2    5    5   30  249   82    9
2018-08-13/20:31:02      3.2     21.3    1.133   -0.920    0.693    18     0   218     0     0    0    0    0    0    0    0    0    0    0    0    1    1   56   45   56   83   52   32
2018-08-17/01:31:23      4.9      2.2    0.028   -0.007    0.021     9     0   539     0     0    0    0    0    0    0    0    0    0    0    0    0    3    4    3    3   35  121   46
2018-08-17/16:16:59      5.9     23.9    1.518    0.372    0.989   286     0   862     0     0    0    0    0    0    0    0    0    0    0    0    0    0   99   96   64   39   15    6
2018-09-18/04:14:11      3.9      2.3    0.634   -0.129    0.591    13     0   302     0     0    0    0    0    0    0    0    0    0    0    1    3    3   11   25   67   70   60  111
2018-09-19/02:58:49      5.7     22.9    1.402    0.659    0.889   140     0   290     0     0    0    0    0    0    0    0    0    0    0    0    0    0    5    8   58   99   16   15
2018-09-21/03:25:17      4.5      1.7    0.676    0.295    0.535    13     0   635     0     0    0    0    0    0    0    0    0    0    0    0    0    0   15   13   14   20   12   44
2018-09-21/11:19:04      5.3      0.7    0.360    0.019    0.259   140     0   433     0     0    0    0    0    0    0    0    0    0    0    0    0    0   22    8    3   14    8   15
2018-09-22/13:09:02      5.8     23.9    0.777    0.036    0.517    77     0   367     0     0    0    0    0    0    0    0    2    2   10   32   22   46   27   30  404  898  286   46
2018-09-22/14:11:59      5.3      0.6    0.170    0.009    0.123  1226     0   370     0     0    0    0    0    0    0    0    3    3    9   32   28   46   21   30  404  898  441  111
2018-09-22/14:42:50      5.3      0.6    0.170    0.009    0.123  1226     0   380     0     0    0    0    0    0    0    0    3    3    9   32   28   46   21   30  404  898  441  111
2018-09-28/00:34:48      4.7     21.5    0.102   -0.059    0.067   342     0   217     0     0    0    0    0    0    0    0    0    0    0    0    0    0    6    4    3    9    6    3
2018-10-07/12:20:42      5.2      0.2    0.799    0.058    0.592    43     0   313     0     0    0    0    0    0    0    0   31   20    7   24   21   61   47   26  359  565  352   62
2018-10-07/22:55:44      3.2      2.3    0.573   -0.471    0.359    13     0   170     0     0    0    0    0    0    0    0    2    1    1    3   34   35    9   11   84   79  253  105
2018-10-10/19:27:37      5.8     23.1    0.300   -0.045    0.196  1333     0   360     0     0    0    0    0    0    0    0    9    6    3   23   17   87   42  217  719  449  220   46
2018-12-18/02:42:50      5.8     21.5    1.131   -0.405    0.671    80     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   10    4   14    9    3    3
2019-01-24/22:48:59      4.7     16.6    0.328   -0.154    0.234   275     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   62   54   39   18    4    4
2019-01-25/00:23:18      6.1     18.0    1.203   -0.795    0.532    11     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   15   20   14    3    1    3
2019-01-26/19:06:48      4.0     16.0    0.893   -0.317    0.767    37     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   27   52   32   13    4    7
2019-01-26/20:39:01      5.8     17.6    1.810   -0.778    1.017    62     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   40   60   50   29    4    3
2019-02-01/01:40:57      5.7     17.4    1.294   -0.579    0.744    17     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   44   32   17   10    4    8
2019-02-02/03:03:26      3.9     16.0    0.414   -0.103    0.385   113     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   66  112   87   39   13   10
2019-02-03/05:58:45      4.0     16.1    1.045   -0.055    0.982   200     0     0     0     0    0    0    0    0    0    0    1    1    0    0    0    0  213  250  123   56   21    7
2019-02-05/03:47:55      5.3     17.2    1.861   -0.294    1.286    84     0     0     0     0    0    0    0    0    0    0    0    0    1    1    0    6   21   32  168  112   21    6
2019-02-05/21:06:05      5.3     16.7    0.344   -0.151    0.220   408     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   29   35   26    9    3    6
2019-02-06/05:09:47      3.7     15.6    0.444   -0.297    0.331    60     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   53   58   73   41   17   36
2019-02-08/20:17:23      5.0     16.3    0.407   -0.146    0.287   415     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   22   33   47   26    4    3
2019-02-08/21:51:21      6.1     17.6    0.994   -0.414    0.545   406     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   14   10    4    2    1    3
2019-02-12/05:04:54      4.9     16.6    1.272   -0.114    0.973    24     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   44  121   95  116   28    7
2019-02-14/21:47:29      6.1     18.0    1.266   -0.704    0.621    66     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   91   62   56   47    9    3
2019-02-15/04:15:23      4.7     16.2    0.514   -0.117    0.404    35     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   49   39   22   12    4    3
2019-02-16/07:09:47      4.8     16.3    1.324   -0.026    1.060    60     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   36   13    3    5    3    3
2019-02-18/03:25:44      4.4     15.8    0.145    0.046    0.120   213     0     0     0     0    0    0    0    0    0    0    0    0    0    0    0    1   34   54   58   35   19   26
2019-03-15/21:45:47      6.0     16.7    0.981    0.535    0.548    65    -1   922  4441     0    0    0    0    0    0    0    0    0    0    0    0    0    7    4    4   11   15    3
2019-03-16/05:48:02      5.6     16.1    0.126    0.030    0.084    68    -1   375   774     0    0    0    0    0    0    0    0    0    0    0    0    0   34   35   13    4    6   13
